Date,Net_Funding_Million_TRY
2022-04-26,295062.8
2022-04-27,294309.9
2022-04-28,304964.5
2022-04-29,350910.8
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,345078.2
2022-05-06,328159.2
2022-05-09,333146.5
2022-05-10,347202.0
2022-05-11,367460.8
2022-05-12,351588.3
2022-05-13,409227.3
2022-05-16,393473.4
2022-05-17,400609.3
2022-05-18,396322.7
2022-05-19,
2022-05-20,406905.7
2022-05-23,382024.85
2022-05-24,358936.0
2022-05-25,492209.6
2022-05-26,472185.9
2022-05-27,536183.7
2022-05-30,517780.5
2022-05-31,547905.9
2022-06-01,562519.8
2022-06-02,561965.3
2022-06-03,565469.5
2022-06-06,555164.3
2022-06-07,555623.87
2022-06-08,584539.14
2022-06-09,580638.7
2022-06-10,623354.2
2022-06-13,588298.2
2022-06-14,592907.1
2022-06-15,625094.0
2022-06-16,624092.8
2022-06-17,584321.2
2022-06-20,578309.97
2022-06-21,576360.53
2022-06-22,568178.68
2022-06-23,552607.71
2022-06-24,590466.89
2022-06-27,561169.34
2022-06-28,553974.05
2022-06-29,560905.95
2022-06-30,595674.57
2022-07-01,515341.99
2022-07-04,499357.01
2022-07-05,505131.37
2022-07-06,529026.37
2022-07-07,495182.72
2022-07-08,558030.85
2022-07-11,
2022-07-12,
2022-07-13,529883.2
2022-07-14,510282.01
2022-07-15,
2022-07-18,494152.8
2022-07-19,444828.4
2022-07-20,435236.47
2022-07-21,430936.8
2022-07-22,467372.18
2022-07-25,443208.32
2022-07-26,441378.94
2022-07-27,424073.03
2022-07-28,390668.66
2022-07-29,410293.1
2022-08-01,395199.49
2022-08-02,368175.25
2022-08-03,348072.54
2022-08-04,342484.68
2022-08-05,350362.78
2022-08-08,317710.16
2022-08-09,303592.66
2022-08-10,300243.5
2022-08-11,240916.7
2022-08-12,199025.7
2022-08-15,167469.8
2022-08-16,151904.2
2022-08-17,145224.9
2022-08-18,165447.95
2022-08-19,220794.5
2022-08-22,314498.66
2022-08-23,334734.0
2022-08-24,323313.67
2022-08-25,326324.12
2022-08-26,313925.26
2022-08-29,283555.95
2022-08-30,
2022-08-31,294001.49
2022-09-01,310169.8
2022-09-02,324756.6
2022-09-05,306266.1
2022-09-06,320266.9
2022-09-07,311792.19
2022-09-08,318191.2
2022-09-09,284205.9
2022-09-12,261228.2
2022-09-13,208732.9
2022-09-14,236184.7
2022-09-15,259768.6
2022-09-16,294558.2
2022-09-19,285283.05
2022-09-20,302481.45
2022-09-21,317702.74
2022-09-22,265605.65
2022-09-23,297801.24
2022-09-26,323607.78
2022-09-27,327630.7
2022-09-28,319278.29
2022-09-29,329351.23
2022-09-30,273597.64
2022-10-03,252249.75
2022-10-04,246982.92
2022-10-05,230614.9
2022-10-06,219668.9
2022-10-07,212732.7
2022-10-10,191155.93
2022-10-11,194761.3
2022-10-12,222864.4
2022-10-13,216606.15
2022-10-14,220638.62
2022-10-17,209957.08
2022-10-18,216734.52
2022-10-19,208965.04
2022-10-20,213029.99
2022-10-21,256359.03
2022-10-24,259595.1
2022-10-25,256859.9
2022-10-26,234408.5
2022-10-27,196196.98
2022-10-28,212904.23
2022-10-31,222148.3
2022-11-01,230190.3
2022-11-02,215788.2
2022-11-03,215623.56
2022-11-04,192328.65
2022-11-07,193298.15
2022-11-08,167167.2
2022-11-09,144322.12
2022-11-10,128363.54
2022-11-11,122340.1
2022-11-14,110568.2
2022-11-15,105948.4
2022-11-16,103006.4
2022-11-17,105600.2
2022-11-18,151233.9
2022-11-21,194832.5
2022-11-22,301924.2
2022-11-23,320013.9
2022-11-24,278871.5
2022-11-25,266943.9
2022-11-28,249341.6
2022-11-29,250145.3
2022-11-30,268328.4
2022-12-01,279544.72
2022-12-02,267162.1
2022-12-05,256207.4
2022-12-06,224602.29
2022-12-07,230257.93
2022-12-08,222683.6
2022-12-09,251354.9
2022-12-12,232787.5
2022-12-13,199328.8
2022-12-14,191743.25
2022-12-15,175284.9
2022-12-16,174870.7
2022-12-19,174334.6
2022-12-20,181143.05
2022-12-21,146262.4
2022-12-22,147917.25
2022-12-23,168461.5
2022-12-26,143654.08
2022-12-27,140320.5
2022-12-28,142648.6
2022-12-29,167757.7
2022-12-30,167839.6
2023-01-02,158942.0
2023-01-03,129071.5
2023-01-04,134250.69
2023-01-05,194573.5
2023-01-06,230696.5
2023-01-09,220944.5
2023-01-10,218255.51
2023-01-11,189253.49
2023-01-12,114441.1
2023-01-13,118554.5
2023-01-16,97989.9
2023-01-17,120522.49
2023-01-18,122085.68
2023-01-19,127517.92
2023-01-20,142770.28
2023-01-23,141534.4
2023-01-24,138654.1
