Date,Conversion_Rate,Transaction_Volume,Net_Funding_Million_TRY,TRY_Interest_Rate_6Month,USD_Interest_Rate_6Month,CPI_Index,Inflation_Expectation_12M,Repo_1Day_Weighted_Average_Rate
2023-05-31,20.3104,10750017.12,671733.5,25.92,2.31,1300.6,68.78,10.0
2023-06-01,20.6632,17805600.0,678713.1,25.92,2.31,1351.59,72.65,10.13
2023-06-02,20.7529,24300600.0,688747.9,26.93,2.59,1351.59,72.65,10.13
2023-06-05,20.8447,25501000.0,652617.75,26.93,2.59,1351.59,72.65,10.13
2023-06-06,21.1465,25501000.0,654560.2,26.93,2.59,1351.59,72.65,10.13
2023-06-07,21.4565,21700481.0,629797.8,26.93,2.59,1351.59,72.65,10.13
2023-06-08,23.021,26811705.75,562016.7,26.93,2.59,1351.59,72.65,10.13
2023-06-09,23.3212,59143400.0,596727.9,29.37,2.67,1351.59,72.65,10.13
2023-06-12,23.4314,30431806.11,581339.6,29.37,2.67,1351.59,72.65,10.13
2023-06-13,23.6117,54843552.25,505754.62,29.37,2.67,1351.59,72.65,10.13
2023-06-14,23.6387,54843552.25,469941.83,29.37,2.67,1351.59,72.65,10.13
2023-06-15,23.5989,34947500.0,455351.93,29.37,2.67,1351.59,72.65,10.13
2023-06-16,23.6389,43234501.25,379912.81,30.32,2.64,1351.59,72.65,10.13
2023-06-19,23.6388,127730532.4,312287.42,30.32,2.64,1351.59,72.65,10.13
2023-06-20,23.6371,237295873.25,293684.88,30.32,2.64,1351.59,72.65,10.13
2023-06-21,23.577,320087311.4,294860.78,30.32,2.64,1351.59,72.65,10.13
2023-06-22,23.5493,393246700.0,264813.98,30.32,2.64,1351.59,72.65,10.13
2023-06-23,23.6239,454915407.5,267620.37,32.9,1.62,1351.59,72.65,10.13
2023-06-26,25.2505,249820000.0,221583.1,32.9,1.62,1351.59,72.65,10.13
2023-06-27,25.8231,111543129.0,230019.6,32.9,1.62,1351.59,72.65,10.13
2023-07-03,25.8231,26460250.0,233435.26,30.11,2.84,1479.84,74.53,16.5
2023-07-04,26.0312,1257668.85,153883.32,30.11,2.84,1479.84,74.53,16.5
2023-07-05,26.0035,105481392.69,116586.6,30.11,2.84,1479.84,74.53,16.5
2023-07-06,26.0474,20968500.0,131528.35,30.11,2.84,1479.84,74.53,16.5
2023-07-07,26.0452,10234792.0,164698.33,30.84,2.75,1479.84,74.53,16.5
2023-07-10,26.0381,1497750.0,170576.03,30.84,2.75,1479.84,74.53,16.5
2023-07-11,26.0564,61509849.88,167637.9,30.84,2.75,1479.84,74.53,16.5
2023-07-12,26.0721,12548798.25,105976.06,30.84,2.75,1479.84,74.53,16.5
2023-07-13,26.1099,4992500.0,59859.94,30.84,2.75,1479.84,74.53,16.5
2023-07-14,26.1195,4992500.0,-43155.94,27.83,2.69,1479.84,74.53,16.5
2023-07-17,26.1446,62087907.0,-122546.3,27.83,2.69,1479.84,74.53,16.5
2023-07-18,26.2388,11717450.0,-176513.83,27.83,2.69,1479.84,74.53,16.5
2023-07-19,26.8232,11717276.41,-197109.6,27.83,2.69,1479.84,74.53,16.5
2023-07-20,26.8963,1997000.0,-165061.5,27.83,2.69,1479.84,74.53,16.5
2023-07-21,26.8878,21136960.0,-150331.0,26.04,2.73,1479.84,74.53,16.5
2023-07-24,26.8944,21136960.0,-146920.4,26.04,2.73,1479.84,74.53,16.5
2023-07-25,26.9212,42989535.0,-170924.3,26.04,2.73,1479.84,74.53,16.5
2023-07-26,26.9263,41763566.5,-121502.9,26.04,2.73,1479.84,74.53,16.5
2023-07-27,26.9283,41763566.5,-133317.9,26.04,2.73,1479.84,74.53,16.5
2023-07-28,26.9308,42137879.5,-99014.6,25.22,2.87,1479.84,74.53,16.5
2023-07-31,26.9394,42137879.5,-46559.3,25.22,2.87,1479.84,74.53,16.5
2023-08-01,26.9323,54598170.5,-127285.9,25.22,2.87,1614.31,88.27,19.0
2023-08-02,26.9329,54598170.5,-216212.6,25.22,2.87,1614.31,88.27,19.0
2023-08-03,26.9382,16393620.0,-259120.3,25.22,2.87,1614.31,88.27,19.0
2023-08-04,26.9498,16393620.0,186128.8,24.24,2.79,1614.31,88.27,19.0
2023-08-07,26.9545,1724388.8,187711.5,24.24,2.79,1614.31,88.27,19.0
2023-08-08,26.9651,1724388.8,153446.4,24.24,2.79,1614.31,88.27,19.0
2023-08-09,26.982,59141330.0,202054.49,24.24,2.79,1614.31,88.27,19.0
2023-08-10,26.9892,10284550.0,132527.0,24.24,2.79,1614.31,88.27,19.0
2023-08-11,26.9978,9985000.0,20317.0,24.81,2.81,1614.31,88.27,19.0
2023-08-14,27.0059,663305.6,14562.0,24.81,2.81,1614.31,88.27,19.0
2023-08-15,27.017,42496112.5,14846.94,24.81,2.81,1614.31,88.27,19.0
2023-08-16,27.022,39564745.0,1494.8,24.81,2.81,1614.31,88.27,19.0
2023-08-17,27.0254,39564745.0,531.4,24.81,2.81,1614.31,88.27,19.0
2023-08-18,27.0681,39564745.0,38349.1,24.85,2.82,1614.31,88.27,19.0
2023-08-21,27.0606,39564745.0,79564.7,24.85,2.82,1614.31,88.27,19.0
2023-08-22,27.1275,87492284.5,184740.72,24.85,2.82,1614.31,88.27,19.0
2023-08-23,27.1676,199700.0,179909.07,24.85,2.82,1614.31,88.27,19.0
2023-08-24,27.1737,9299656.0,195586.52,24.85,2.82,1614.31,88.27,19.0
2023-08-25,27.0937,998500.0,29499.0,26.01,2.78,1614.31,88.27,19.0
2023-08-28,26.406,998500.0,2624.6,26.01,2.78,1614.31,88.27,19.0
2023-08-29,26.5271,182262995.24,-24630.1,26.01,2.78,1614.31,88.27,19.0
2023-08-31,26.5763,182262995.24,-67056.4,26.01,2.78,1614.31,88.27,19.0
2023-09-01,26.6658,599100.0,67835.5,30.27,2.57,1691.04,80.94,26.5
2023-09-04,26.6783,1497750.0,75070.5,30.27,2.57,1691.04,80.94,26.5
2023-09-05,26.735,1497750.0,85049.4,30.27,2.57,1691.04,80.94,26.5
2023-09-06,26.7605,65985828.37,73964.55,30.27,2.57,1691.04,80.94,26.5
2023-09-07,26.7701,65985828.37,75337.48,30.27,2.57,1691.04,80.94,26.5
2023-09-08,26.8048,65985828.37,68990.54,31.59,2.57,1691.04,80.94,26.5
2023-09-11,26.8087,65985828.37,52944.7,31.59,2.57,1691.04,80.94,26.5
2023-09-12,26.8414,70810977.75,60271.1,31.59,2.57,1691.04,80.94,26.5
2023-09-13,26.8582,319520.0,27985.78,31.59,2.57,1691.04,80.94,26.5
2023-09-14,26.9024,9985000.0,22717.9,31.59,2.57,1691.04,80.94,26.5
2023-09-15,26.9069,206653.3,289126.49,33.51,2.43,1691.04,80.94,26.5
2023-09-18,26.93,61241003.76,299633.2,33.51,2.43,1691.04,80.94,26.5
2023-09-19,26.9814,9985000.0,310054.61,33.51,2.43,1691.04,80.94,26.5
2023-09-20,26.9938,9985000.0,278657.3,33.51,2.43,1691.04,80.94,26.5
2023-09-21,26.991,34277262.5,308259.4,33.51,2.43,1691.04,80.94,26.5
2023-09-22,27.002,19870150.0,-199555.2,34.57,2.56,1691.04,80.94,26.5
2023-09-25,27.1039,34947500.0,-338788.3,34.57,2.56,1691.04,80.94,26.5
2023-09-26,27.1751,34947500.0,-336118.5,34.57,2.56,1691.04,80.94,26.5
2023-09-27,27.2108,45201910.68,-297472.4,34.57,2.56,1691.04,80.94,26.5
2023-09-28,27.264,1859725.2,-258965.1,34.57,2.56,1691.04,80.94,26.5
2023-09-29,27.3752,1859725.2,153738.6,37.15,2.85,1691.04,80.94,26.5
2023-10-02,27.3767,34947500.0,60880.6,37.15,2.85,1749.11,80.63,31.5
2023-10-03,27.4044,34947500.0,58909.1,37.15,2.85,1749.11,80.63,31.5
2023-10-04,27.4518,41180405.0,58028.8,37.15,2.85,1749.11,80.63,31.5
2023-10-05,27.5316,9985000.0,56218.5,37.15,2.85,1749.11,80.63,31.5
2023-10-06,27.5264,9985000.0,31103.0,37.15,2.84,1749.11,80.63,31.5
2023-10-09,27.558,9985000.0,-21815.0,37.15,2.84,1749.11,80.63,31.5
2023-10-10,27.6559,9985000.0,-52051.7,37.15,2.84,1749.11,80.63,31.5
2023-10-11,27.6791,33752569.5,-93321.9,37.15,2.84,1749.11,80.63,31.5
2023-10-12,27.6894,27159200.0,-112595.4,37.15,2.84,1749.11,80.63,31.5
2023-10-13,27.7077,2196700.0,-6913.5,37.9,2.82,1749.11,80.63,31.5
2023-10-16,27.7439,2196700.0,-15665.6,37.9,2.82,1749.11,80.63,31.5
2023-10-17,27.8364,2196700.0,-85868.2,37.9,2.82,1749.11,80.63,31.5
2023-10-18,27.8719,38680950.0,-67745.8,37.9,2.82,1749.11,80.63,31.5
2023-10-19,27.9659,2995500.0,-32342.9,37.9,2.82,1749.11,80.63,31.5
2023-10-20,27.9649,2995500.0,-51270.9,37.45,2.78,1749.11,80.63,31.5
