Date,CPI_Index
2016-2,274.38
2016-3,274.27
2016-4,276.42
2016-5,278.02
2016-6,279.33
2016-7,282.58
2016-8,281.76
2016-9,282.27
2016-10,286.33
2016-11,287.81
2016-12,292.54
2017-1,299.74
2017-2,302.17
2017-3,305.24
2017-4,309.23
2017-5,310.61
2017-6,309.78
2017-7,310.24
2017-8,311.85
2017-9,313.88
2017-10,320.4
2017-11,325.18
2017-12,327.41
2018-1,330.75
2018-2,333.17
2018-3,336.48
2018-4,342.78
2018-5,348.34
2018-6,357.44
2018-7,359.41
2018-8,367.66
2018-9,390.84
2018-10,401.27
2018-11,395.48
2018-12,393.88
2019-1,398.07
2019-2,398.71
2019-3,402.81
2019-4,409.63
2019-5,413.52
2019-6,413.63
2019-7,419.24
2019-8,422.84
2019-9,427.04
2019-10,435.59
2019-11,437.25
2019-12,440.5
2020-1,446.45
2020-2,448.02
2020-3,450.58
2020-4,454.43
2020-5,460.62
2020-6,465.84
2020-7,468.56
2020-8,472.61
2020-9,477.21
2020-10,487.38
2020-11,498.58
2020-12,504.81
2021-1,513.3
2021-2,517.96
2021-3,523.53
2021-4,532.32
2021-5,537.05
2021-6,547.48
2021-7,557.36
2021-8,563.6
2021-9,570.66
2021-10,584.32
2021-11,604.84
2021-12,686.95
2022-1,763.23
2022-2,799.93
2022-3,843.64
2022-4,904.79
2022-5,931.76
2022-6,977.9
2022-7,1001.03
2022-8,1015.65
2022-9,1046.89
2022-10,1084.0
2022-11,1115.26
2022-12,1128.45
2023-1,1203.48
2023-2,1241.33
2023-3,1269.75
2023-4,1300.04
2023-5,1300.6
2023-6,1351.59
2023-7,1479.84
2023-8,1614.31
2023-9,1691.04
2023-10,1749.11
2023-11,1806.5
2023-12,1859.38
2024-1,1984.02
2024-2,2073.88
2024-3,2139.47
2024-4,2207.5
2024-5,2281.85
2024-6,2319.29
2024-7,2394.1
2024-8,2453.34
2024-9,2526.16
2024-10,2598.91
2024-11,2657.23
2024-12,2684.55
2025-1,2819.65
2025-2,2883.75
2025-3,2954.69
2025-4,3043.23
2025-5,3089.74
2025-6,3132.17
2025-7,3196.66
2025-8,3261.72
2025-9,3367.22
2025-10,3453.09
2025-11,3482.96
2025-12,3513.87
