Date,FX_Swap_Deposit_Amount
23-02-2016,
24-02-2016,
25-02-2016,
26-02-2016,
29-02-2016,
01-03-2016,
02-03-2016,
03-03-2016,
04-03-2016,
07-03-2016,
08-03-2016,
09-03-2016,
10-03-2016,
11-03-2016,
14-03-2016,
15-03-2016,
16-03-2016,
17-03-2016,
18-03-2016,
21-03-2016,
22-03-2016,
23-03-2016,
24-03-2016,
25-03-2016,
28-03-2016,
29-03-2016,
30-03-2016,
31-03-2016,
01-04-2016,
04-04-2016,
05-04-2016,
06-04-2016,
07-04-2016,
08-04-2016,
11-04-2016,
12-04-2016,
13-04-2016,
14-04-2016,
15-04-2016,
18-04-2016,
19-04-2016,
20-04-2016,
21-04-2016,
22-04-2016,
25-04-2016,
26-04-2016,
27-04-2016,
28-04-2016,
29-04-2016,
02-05-2016,
03-05-2016,
04-05-2016,
05-05-2016,
06-05-2016,
09-05-2016,
10-05-2016,
11-05-2016,
12-05-2016,
13-05-2016,
16-05-2016,
17-05-2016,
18-05-2016,
19-05-2016,
20-05-2016,
23-05-2016,
24-05-2016,
25-05-2016,
26-05-2016,
27-05-2016,
30-05-2016,
31-05-2016,
01-06-2016,
02-06-2016,
03-06-2016,
06-06-2016,
07-06-2016,
08-06-2016,
09-06-2016,
10-06-2016,
13-06-2016,
14-06-2016,
15-06-2016,
16-06-2016,
17-06-2016,
20-06-2016,
21-06-2016,
22-06-2016,
23-06-2016,
24-06-2016,
27-06-2016,
28-06-2016,
29-06-2016,
30-06-2016,
01-07-2016,
04-07-2016,
05-07-2016,
06-07-2016,
07-07-2016,
08-07-2016,
11-07-2016,
12-07-2016,
13-07-2016,
14-07-2016,
15-07-2016,
18-07-2016,
19-07-2016,
20-07-2016,
21-07-2016,
22-07-2016,
25-07-2016,
26-07-2016,
27-07-2016,
28-07-2016,
29-07-2016,
01-08-2016,
02-08-2016,
03-08-2016,
04-08-2016,
05-08-2016,
08-08-2016,
09-08-2016,
10-08-2016,
11-08-2016,
12-08-2016,
15-08-2016,
16-08-2016,
17-08-2016,
18-08-2016,
19-08-2016,
22-08-2016,
23-08-2016,
24-08-2016,
25-08-2016,
26-08-2016,
29-08-2016,
30-08-2016,
31-08-2016,
01-09-2016,
02-09-2016,
05-09-2016,
06-09-2016,
07-09-2016,
08-09-2016,
09-09-2016,
12-09-2016,
13-09-2016,
14-09-2016,
15-09-2016,
16-09-2016,
19-09-2016,
20-09-2016,
21-09-2016,
22-09-2016,
23-09-2016,
26-09-2016,
27-09-2016,
28-09-2016,
29-09-2016,
30-09-2016,
03-10-2016,
04-10-2016,
05-10-2016,
06-10-2016,
07-10-2016,
10-10-2016,
11-10-2016,
12-10-2016,
13-10-2016,
14-10-2016,
17-10-2016,
18-10-2016,
19-10-2016,
20-10-2016,
21-10-2016,
24-10-2016,
25-10-2016,
26-10-2016,
27-10-2016,
28-10-2016,
31-10-2016,
01-11-2016,
02-11-2016,
03-11-2016,
04-11-2016,
07-11-2016,
08-11-2016,
09-11-2016,
10-11-2016,
11-11-2016,
14-11-2016,
15-11-2016,
16-11-2016,
17-11-2016,
18-11-2016,
21-11-2016,
22-11-2016,
23-11-2016,
24-11-2016,
25-11-2016,
28-11-2016,
29-11-2016,
