Date,Year_Week,USD_Interest_Rate_6Month
26-02-2016,2016-9,2.09
04-03-2016,2016-10,1.98
11-03-2016,2016-11,2.01
18-03-2016,2016-12,2.05
25-03-2016,2016-13,1.98
01-04-2016,2016-14,2.08
08-04-2016,2016-15,1.97
15-04-2016,2016-16,1.89
22-04-2016,2016-17,1.91
29-04-2016,2016-18,1.89
06-05-2016,2016-19,1.9
13-05-2016,2016-20,1.86
20-05-2016,2016-21,1.91
27-05-2016,2016-22,1.88
03-06-2016,2016-23,1.82
10-06-2016,2016-24,1.79
17-06-2016,2016-25,1.83
24-06-2016,2016-26,1.77
01-07-2016,2016-27,1.97
08-07-2016,2016-28,1.62
15-07-2016,2016-29,1.87
22-07-2016,2016-30,1.84
29-07-2016,2016-31,1.85
05-08-2016,2016-32,1.9
12-08-2016,2016-33,1.86
19-08-2016,2016-34,2.03
26-08-2016,2016-35,2.07
02-09-2016,2016-36,1.95
09-09-2016,2016-37,2.0
16-09-2016,2016-38,1.6
23-09-2016,2016-39,2.22
30-09-2016,2016-40,2.25
07-10-2016,2016-41,2.18
14-10-2016,2016-42,2.17
21-10-2016,2016-43,2.18
28-10-2016,2016-44,2.32
04-11-2016,2016-45,2.26
11-11-2016,2016-46,2.2
18-11-2016,2016-47,2.41
25-11-2016,2016-48,2.15
02-12-2016,2016-49,2.2
09-12-2016,2016-50,2.22
16-12-2016,2016-51,2.2
23-12-2016,2016-52,2.31
30-12-2016,2016-53,2.5
06-01-2017,2017-1,2.47
13-01-2017,2017-2,2.31
20-01-2017,2017-3,2.38
27-01-2017,2017-4,2.32
03-02-2017,2017-5,2.41
10-02-2017,2017-6,2.48
17-02-2017,2017-7,2.57
24-02-2017,2017-8,2.34
03-03-2017,2017-9,2.33
10-03-2017,2017-10,2.33
17-03-2017,2017-11,2.46
24-03-2017,2017-12,2.31
31-03-2017,2017-13,2.5
07-04-2017,2017-14,2.49
14-04-2017,2017-15,2.43
21-04-2017,2017-16,2.61
28-04-2017,2017-17,2.52
05-05-2017,2017-18,2.46
12-05-2017,2017-19,2.67
19-05-2017,2017-20,2.83
26-05-2017,2017-21,2.7
02-06-2017,2017-22,2.64
09-06-2017,2017-23,2.66
16-06-2017,2017-24,2.7
23-06-2017,2017-25,2.85
30-06-2017,2017-26,2.79
07-07-2017,2017-27,2.76
14-07-2017,2017-28,2.75
21-07-2017,2017-29,2.83
28-07-2017,2017-30,2.7
04-08-2017,2017-31,2.81
11-08-2017,2017-32,2.76
18-08-2017,2017-33,2.91
25-08-2017,2017-34,2.71
01-09-2017,2017-35,2.56
08-09-2017,2017-36,2.8
15-09-2017,2017-37,2.74
22-09-2017,2017-38,2.88
29-09-2017,2017-39,2.94
06-10-2017,2017-40,2.81
13-10-2017,2017-41,2.76
20-10-2017,2017-42,2.83
27-10-2017,2017-43,2.64
03-11-2017,2017-44,2.81
10-11-2017,2017-45,2.71
17-11-2017,2017-46,2.9
24-11-2017,2017-47,2.75
01-12-2017,2017-48,2.74
08-12-2017,2017-49,2.72
15-12-2017,2017-50,2.87
22-12-2017,2017-51,2.94
29-12-2017,2017-52,3.11
05-01-2018,2018-1,2.9
12-01-2018,2018-2,2.89
19-01-2018,2018-3,2.91
26-01-2018,2018-4,2.87
02-02-2018,2018-5,2.88
09-02-2018,2018-6,2.89
16-02-2018,2018-7,2.9
23-02-2018,2018-8,3.0
02-03-2018,2018-9,2.85
09-03-2018,2018-10,2.88
16-03-2018,2018-11,2.92
23-03-2018,2018-12,2.95
30-03-2018,2018-13,3.11
06-04-2018,2018-14,2.91
13-04-2018,2018-15,3.01
20-04-2018,2018-16,3.04
27-04-2018,2018-17,2.89
04-05-2018,2018-18,2.99
11-05-2018,2018-19,2.92
18-05-2018,2018-20,3.1
25-05-2018,2018-21,3.11
01-06-2018,2018-22,3.02
08-06-2018,2018-23,3.03
15-06-2018,2018-24,2.97
22-06-2018,2018-25,3.37
29-06-2018,2018-26,3.44
06-07-2018,2018-27,3.24
13-07-2018,2018-28,3.32
20-07-2018,2018-29,3.31
27-07-2018,2018-30,3.45
03-08-2018,2018-31,3.33
10-08-2018,2018-32,3.53
17-08-2018,2018-33,3.72
24-08-2018,2018-34,3.15
31-08-2018,2018-35,3.87
